web-scraper-order,web-scraper-start-url,Product Name,Units sold,Price
1759477013-195,https://shopee.ph/kbeautycafe#product_list,Iunik Centella Calming Gel Cream 60ml,4.978 sold,699
1759477013-196,https://shopee.ph/kbeautycafe#product_list,Numbuzin No.3 Porcelain Base-skip Tone Up Beige,4.910K+ sold,899
1759477013-197,https://shopee.ph/kbeautycafe#product_list,Iunik Beta Glucan 3X Barrier Cream 50ml,4.9 Shop Rating2 sold,930
1759477013-198,https://shopee.ph/kbeautycafe#product_list,Numbuzin No. 5 Vitamin Boosting Essential Toner 200mL,5.0339 sold,890
1759477013-199,https://shopee.ph/kbeautycafe#product_list,By Wishtrend Vitamin A-mazing Bakuchiol Night Cream 10g / 30g / Body Lotion,4.92K+ sold,550
1759477013-200,https://shopee.ph/kbeautycafe#product_list,Eqqualberry Purple Rice Pore Purifying Pack Cleanser,5.015 sold,"1,064"
1759477013-201,https://shopee.ph/kbeautycafe#product_list,Eqqualberry Aloe PDRN Calming Serum 30ml,4.9 Shop Rating,"1,119"
1759477013-202,https://shopee.ph/kbeautycafe#product_list,Medicube Zero Pore Pad 2.0 | Pore Pad Mild,4.8252 sold,"1,050"
1759477013-203,https://shopee.ph/kbeautycafe#product_list,Arencia Green Tea + LHA Deep Pore Rice Cake Cleanser,5.040 sold,880
1759477013-204,https://shopee.ph/kbeautycafe#product_list,I'm from Silicon Brush,5.0267 sold,195
1759477013-205,https://shopee.ph/kbeautycafe#product_list,KAINE Vita Drop Serum 30ml,5.03K+ sold,590
1759477013-206,https://shopee.ph/kbeautycafe#product_list,Pyunkang Yul Calming Moisture Barrier Cream,4.9659 sold,550
1759477013-207,https://shopee.ph/kbeautycafe#product_list,Medicube PDRN Pink Peptide Eye Serum 30ml,5.029 sold,900
1759477013-208,https://shopee.ph/kbeautycafe#product_list,Anua Nano Retinol 0.3% + Niacin Renewing Serum,4.9205 sold,"1,480"
